Games	Wins	Winning percent
583	276	0.473413
584	277	0.474315
585	278	0.475214
586	278	0.474403
587	279	0.475298
588	280	0.47619
589	281	0.47708
590	282	0.477966
591	282	0.477157
592	282	0.476351
593	283	0.477234
594	284	0.478114
595	284	0.477311
596	285	0.478188
597	286	0.479062
598	287	0.479933
599	288	0.480801
600	289	0.481667
601	289	0.480865
602	289	0.480066
603	290	0.480929
604	290	0.480132
605	290	0.479339
606	291	0.480198
607	291	0.479407
608	292	0.480263
609	293	0.481117
610	293	0.480328
611	293	0.479542
612	293	0.478758
613	293	0.477977
614	294	0.478827
615	295	0.479675
616	295	0.478896
617	296	0.479741
618	296	0.478964
619	296	0.478191
620	297	0.479032
621	298	0.479871
622	299	0.480707
623	299	0.479936
624	299	0.479167
625	299	0.4784
626	299	0.477636
627	299	0.476874
628	299	0.476115
629	300	0.476948
630	300	0.47619
631	301	0.477021
632	301	0.476266
633	302	0.477093
634	303	0.477918
635	303	0.477165
636	304	0.477987
637	304	0.477237
638	304	0.476489
639	304	0.475743
640	305	0.476562
641	305	0.475819
642	306	0.476636
643	306	0.475894
644	307	0.476708
645	307	0.475969
646	308	0.47678
647	309	0.477589
648	309	0.476852
649	310	0.477658
650	311	0.478462
651	312	0.479263
652	312	0.478528
653	313	0.479326
654	313	0.478593
655	313	0.477863
656	314	0.478659
657	314	0.47793
658	314	0.477204
659	314	0.47648
660	315	0.477273
661	316	0.478064
662	316	0.477341
663	317	0.47813
664	317	0.47741
665	317	0.476692
666	317	0.475976
667	317	0.475262
668	317	0.474551
669	317	0.473842
670	317	0.473134
671	317	0.472429
672	317	0.471726
673	318	0.472511
674	318	0.47181
675	318	0.471111
676	319	0.471893
677	320	0.472674
678	320	0.471976
679	320	0.471281
680	320	0.470588
681	321	0.471366
682	322	0.472141
683	322	0.471449
684	322	0.47076
685	322	0.470073
686	323	0.470845
687	324	0.471616
688	325	0.472384
689	326	0.473149
690	326	0.472464
691	326	0.47178
692	327	0.472543
693	328	0.473304
694	328	0.472622
695	329	0.473381
696	329	0.472701
697	329	0.472023
698	330	0.472779
699	330	0.472103
700	331	0.472857
701	332	0.473609
702	332	0.472934
703	333	0.473684
704	333	0.473011
705	333	0.47234
706	334	0.473088
707	334	0.472419
708	334	0.471751
709	334	0.471086
710	335	0.471831
711	335	0.471167
712	336	0.47191
713	336	0.471248
714	337	0.471989
715	337	0.471329
716	337	0.47067
717	337	0.470014
718	337	0.469359
719	338	0.470097
720	339	0.470833
721	339	0.47018
722	339	0.469529
723	339	0.46888
724	339	0.468232
725	340	0.468966
726	341	0.469697
727	341	0.469051
728	342	0.46978
729	343	0.470508
730	343	0.469863
731	344	0.470588
732	344	0.469945
733	344	0.469304
734	345	0.470027
735	345	0.469388
736	345	0.46875
737	345	0.468114
738	345	0.46748
739	346	0.4682
740	347	0.468919
741	347	0.468286
742	347	0.467655
743	347	0.467026
744	347	0.466398
745	347	0.465772
746	347	0.465147
747	347	0.464525
748	347	0.463904
749	347	0.463284
750	348	0.464
751	348	0.463382
752	348	0.462766
753	348	0.462151
754	348	0.461538
755	348	0.460927
756	348	0.460317
757	348	0.459709
758	348	0.459103
759	348	0.458498
760	348	0.457895
761	349	0.458607
762	350	0.459318
763	350	0.458716
764	350	0.458115
765	351	0.458824
766	352	0.45953
767	352	0.458931
768	353	0.459635
769	354	0.460338
770	355	0.461039
771	355	0.460441
772	355	0.459845
773	356	0.460543
774	357	0.46124
775	357	0.460645
776	358	0.46134
777	358	0.460746
778	358	0.460154
779	358	0.459564
780	359	0.460256
781	360	0.460948
782	361	0.461637
783	361	0.461047
784	361	0.460459
785	361	0.459873
786	362	0.46056
787	363	0.461245
788	363	0.46066
789	363	0.460076
790	363	0.459494
791	363	0.458913
792	364	0.459596
793	364	0.459016
794	365	0.459698
795	365	0.459119
796	366	0.459799
797	367	0.460477
798	367	0.4599
799	368	0.460576
800	369	0.46125
801	369	0.460674
802	370	0.461347
803	370	0.460772
804	371	0.461443
805	372	0.462112
806	373	0.462779
807	373	0.462206
808	373	0.461634
809	374	0.462299
810	375	0.462963
811	375	0.462392
812	376	0.463054
813	376	0.462485
814	377	0.463145
815	377	0.462577
816	378	0.463235
817	378	0.462668
818	378	0.462103
819	379	0.462759
820	379	0.462195
821	380	0.46285
822	381	0.463504
823	381	0.46294
824	381	0.462379
825	382	0.46303
826	383	0.46368
827	384	0.464329
828	385	0.464976
829	385	0.464415
830	386	0.46506
831	387	0.465704
832	387	0.465144
833	388	0.465786
834	389	0.466427
835	390	0.467066
836	390	0.466507
837	390	0.46595
838	391	0.466587
839	391	0.466031
840	392	0.466667
841	392	0.466112
842	392	0.465558
843	393	0.466192
844	393	0.46564
845	393	0.465089
846	393	0.464539
847	393	0.463991
848	393	0.463443
849	393	0.462898
850	393	0.462353
851	393	0.46181
852	394	0.462441
853	395	0.463072
854	395	0.462529
855	395	0.461988
856	396	0.462617
857	397	0.463244
858	397	0.462704
859	397	0.462165
860	398	0.462791
861	398	0.462253
862	399	0.462877
863	399	0.462341
864	400	0.462963
865	400	0.462428
866	400	0.461894
867	400	0.461361
868	401	0.461982
869	401	0.46145
870	401	0.46092
871	401	0.46039
872	401	0.459862
873	402	0.460481
874	402	0.459954
875	403	0.460571
876	403	0.460046
877	403	0.459521
878	403	0.458998
879	404	0.459613
880	404	0.459091
881	404	0.45857
882	405	0.459184
883	406	0.459796
884	407	0.460407
885	408	0.461017
886	408	0.460497
887	409	0.461105
888	410	0.461712
889	410	0.461192
890	410	0.460674
891	411	0.461279
892	411	0.460762
893	412	0.461366
894	412	0.46085
895	412	0.460335
896	412	0.459821
897	413	0.460424
898	414	0.461024
899	414	0.460512
900	414	0.46
901	415	0.460599
902	415	0.460089
903	416	0.460687
904	416	0.460177
905	417	0.460773
906	417	0.460265
907	418	0.46086
908	418	0.460352
909	419	0.460946
910	420	0.461538
911	421	0.46213
912	421	0.461623
913	421	0.461117
914	421	0.460613
915	421	0.460109
916	421	0.459607
917	421	0.459106
918	421	0.458606
919	421	0.458107
920	422	0.458696
921	422	0.458198
922	422	0.457701
923	422	0.457205
924	423	0.457792
925	423	0.457297
926	424	0.457883
927	424	0.457389
928	424	0.456897
929	425	0.457481
930	426	0.458065
931	427	0.458647
932	428	0.459227
933	428	0.458735
934	429	0.459315
935	430	0.459893
936	430	0.459402
937	430	0.458911
938	431	0.459488
939	432	0.460064
940	432	0.459574
941	432	0.459086
942	433	0.45966
943	433	0.459173
944	433	0.458686
945	433	0.458201
946	433	0.457717
947	434	0.458289
948	434	0.457806
949	434	0.457323
950	434	0.456842
951	435	0.457413
952	436	0.457983
953	436	0.457503
954	436	0.457023
955	437	0.457592
956	438	0.458159
957	438	0.45768
958	438	0.457202
959	438	0.456726
960	438	0.45625
961	438	0.455775
962	438	0.455301
963	438	0.454829
964	439	0.455394
965	439	0.454922
966	439	0.454451
967	439	0.453981
968	440	0.454545
969	441	0.455108
970	441	0.454639
971	442	0.455201
972	442	0.454733
973	443	0.455293
974	443	0.454825
975	443	0.454359
976	444	0.454918
977	444	0.454452
978	445	0.45501
979	446	0.455567
980	446	0.455102
981	446	0.454638
982	446	0.454175
983	446	0.453713
984	446	0.453252
985	446	0.452792
986	447	0.453347
987	448	0.453901
988	448	0.453441
989	448	0.452983
990	448	0.452525
991	448	0.452069
992	449	0.452621
993	449	0.452165
994	449	0.45171
995	449	0.451256
996	450	0.451807
997	450	0.451354
998	451	0.451904
999	452	0.452452
1000	452	0.452
1001	453	0.452547
1002	454	0.453094
1003	454	0.452642
1004	454	0.452191
1005	455	0.452736
1006	455	0.452286
1007	455	0.451837
1008	455	0.451389
1009	456	0.451933
1010	456	0.451485
1011	456	0.451039
1012	457	0.451581
1013	457	0.451135
1014	458	0.451677
1015	458	0.451232
1016	459	0.451772
1017	459	0.451327
1018	459	0.450884
1019	459	0.450442
1020	460	0.45098
1021	460	0.450539
1022	460	0.450098
1023	461	0.450635
1024	462	0.451172
1025	462	0.450732
1026	463	0.451267
1027	463	0.450828
1028	463	0.450389
1029	463	0.449951
1030	463	0.449515
1031	464	0.450049
1032	464	0.449612
1033	464	0.449177
1034	464	0.448743
1035	465	0.449275
1036	465	0.448842
1037	465	0.448409
1038	466	0.44894
1039	466	0.448508
1040	467	0.449038
1041	467	0.448607
1042	467	0.448177
1043	468	0.448706
1044	468	0.448276
1045	468	0.447847
1046	468	0.447419
1047	469	0.447947
1048	469	0.447519
1049	470	0.448046
1050	471	0.448571
1051	471	0.448145
1052	471	0.447719
1053	472	0.448243
1054	472	0.447818
1055	472	0.447393
1056	472	0.44697
1057	473	0.447493
1058	474	0.448015
1059	475	0.448536
1060	475	0.448113
1061	475	0.447691
1062	476	0.448211
1063	477	0.44873
1064	478	0.449248
1065	479	0.449765
1066	479	0.449343
1067	479	0.448922
1068	479	0.448502
1069	479	0.448082
1070	479	0.447664
1071	480	0.448179
1072	480	0.447761
1073	480	0.447344
1074	480	0.446927
1075	481	0.447442
1076	481	0.447026
1077	481	0.446611
1078	481	0.446197
1079	481	0.445783
1080	482	0.446296
